CPUs Experimento Ambiente Tempo Disco
1 4 kvm 999.71 1379509548
1 5 kvm 999.57 1379509548
1 6 kvm 999.14 1379509548
1 7 kvm 996.98 1379509548
1 8 kvm 1006.44 1379509548
1 9 kvm 999.34 1379509548
1 10 kvm 1000.04 1379509548
1 11 kvm 999.42 1379509548
1 12 kvm 1005.40 1379509548
1 13 kvm 999.70 1379509548
1 14 kvm 1000.28 1379509548
1 15 kvm 1000.22 1379509548
1 16 kvm 995.75 1379509548
1 17 kvm 999.31 1379509548
1 18 kvm 997.67 1379509548
1 19 kvm 998.95 1379509548
1 20 kvm 1000.23 1379509548
1 21 kvm 997.27 1379509548
1 22 kvm 999.15 1379509548
1 23 kvm 996.69 1379509548
1 24 kvm 999.07 1379509548
1 25 kvm 1000.29 1379509548
1 26 kvm 1000.45 1379509548
1 27 kvm 996.38 1379509548
1 28 kvm 998.67 1379509548
1 29 kvm 998.56 1379509548
1 30 kvm 1000.92 1379509548
2 1 kvm 520.41 1379689564
2 2 kvm 521.35 1379509548
2 3 kvm 523.54 1379509548
2 4 kvm 526.85 1379509548
2 5 kvm 523.79 1379509548
2 6 kvm 525.22 1379509548
2 7 kvm 524.65 1379689564
2 8 kvm 525.95 1379689564
2 9 kvm 523.54 1379509548
2 10 kvm 523.63 1379509548
2 11 kvm 523.67 1379509548
2 12 kvm 522.26 1379689564
2 13 kvm 522.43 1379509548
2 14 kvm 520.48 1379509548
2 15 kvm 523.22 1379509548
2 16 kvm 521.51 1379689564
2 17 kvm 522.78 1379509548
2 18 kvm 520.62 1379689564
2 19 kvm 522.35 1379509548
2 20 kvm 523.50 1379689564
2 21 kvm 522.50 1379689564
2 22 kvm 522.22 1379509548
2 23 kvm 521.31 1379689564
2 24 kvm 522.70 1379689564
2 25 kvm 522.02 1379509548
2 26 kvm 523.30 1379509548
2 27 kvm 523.10 1379689564
2 28 kvm 519.91 1379509548
2 29 kvm 522.67 1379509548
2 30 kvm 524.10 1379689564
4 1 kvm 290.72 1379689564
4 2 kvm 288.79 1379689564
4 3 kvm 289.30 1379689564
4 4 kvm 288.13 1379869580
4 5 kvm 287.46 1379689564
4 6 kvm 288.94 1379689564
4 7 kvm 287.06 1379689564
4 8 kvm 291.06 1379869580
4 9 kvm 288.22 1379869580
4 10 kvm 289.33 1379689564
4 11 kvm 290.24 1379869580
4 12 kvm 289.86 1379689564
4 13 kvm 290.52 1379689564
4 14 kvm 287.97 1379689564
4 15 kvm 290.12 1379869580
4 16 kvm 291.00 1379689564
4 17 kvm 287.31 1379689564
4 18 kvm 288.54 1379869580
4 19 kvm 286.96 1379689564
4 20 kvm 287.23 1379869580
4 21 kvm 287.54 1379689564
4 22 kvm 289.94 1379689564
4 23 kvm 289.25 1379869580
4 24 kvm 290.20 1379689564
4 25 kvm 291.08 1379869580
4 26 kvm 287.73 1379869580
4 27 kvm 287.96 1379869580
4 28 kvm 288.54 1379869580
4 29 kvm 288.37 1379869580
4 30 kvm 288.37 1379869580
8 1 kvm 167.90 1380409628
8 2 kvm 165.60 1380049596
8 3 kvm 164.42 1380229612
8 4 kvm 169.74 1380229612
8 5 kvm 170.74 1380049596
8 6 kvm 168.68 1380229612
8 7 kvm 166.51 1380049596
8 8 kvm 169.28 1380049596
8 9 kvm 166.87 1380229612
8 10 kvm 167.25 1380049596
8 11 kvm 163.86 1380049596
8 12 kvm 165.79 1380049596
8 13 kvm 167.00 1380049596
8 14 kvm 166.16 1380049596
8 15 kvm 164.21 1380229612
8 16 kvm 166.35 1380229612
8 17 kvm 164.40 1380049596
8 18 kvm 164.20 1380229612
8 19 kvm 166.59 1380409628
8 20 kvm 168.87 1380049596
8 21 kvm 167.02 1380229612
8 22 kvm 165.52 1380229612
8 23 kvm 166.32 1380049596
8 24 kvm 167.81 1380229612
8 25 kvm 164.14 1379869580
8 26 kvm 166.91 1380049596
8 27 kvm 168.86 1380049596
8 28 kvm 165.77 1380049596
8 29 kvm 166.12 1379869580
8 30 kvm 167.90 1379869580
10 1 kvm 144.04 1380409628
10 2 kvm 143.54 1380229612
10 3 kvm 142.25 1380409628
10 4 kvm 139.37 1380229612
10 5 kvm 139.33 1380409628
10 6 kvm 142.86 1380229612
10 7 kvm 140.11 1380409628
10 8 kvm 138.37 1380589644
10 9 kvm 141.88 1380229612
10 10 kvm 140.90 1380409628
10 11 kvm 142.12 1380589644
10 12 kvm 139.82 1380049596
10 13 kvm 138.22 1380589644
10 14 kvm 142.35 1380409628
10 15 kvm 141.65 1380049596
10 16 kvm 140.07 1380229612
