CPUs,Experimento,Ambiente,Tempo,Tempo_Nativo,Perf,Perf5,Perf10
8,23,kvm_1,,13.1500,1,1,1
8,24,kvm_1,,13.1500,1,1,1
8,25,kvm_1,,13.1500,1,1,1
8,26,kvm_1,,13.1500,1,1,1
8,27,kvm_1,,13.1500,1,1,1
8,28,kvm_1,,13.1500,1,1,1
8,29,kvm_1,,13.1500,1,1,1
8,30,kvm_1,,13.1500,1,1,1
8,1,Xen_1,,13.1500,1,1,1
8,2,Xen_1,,13.1500,1,1,1
8,3,Xen_1,,13.1500,1,1,1
8,4,Xen_1,,13.1500,1,1,1
8,5,Xen_1,,13.1500,1,1,1
8,6,Xen_1,,13.1500,1,1,1
8,7,Xen_1,,13.1500,1,1,1
8,8,Xen_1,,13.1500,1,1,1
8,9,Xen_1,,13.1500,1,1,1
8,10,Xen_1,,13.1500,1,1,1
8,11,Xen_1,,13.1500,1,1,1
8,12,Xen_1,,13.1500,1,1,1
8,13,Xen_1,,13.1500,1,1,1
8,14,Xen_1,,13.1500,1,1,1
8,15,Xen_1,,13.1500,1,1,1
8,16,Xen_1,,13.1500,1,1,1
8,17,Xen_1,,13.1500,1,1,1
8,18,Xen_1,,13.1500,1,1,1
8,19,Xen_1,,13.1500,1,1,1
8,20,Xen_1,,13.1500,1,1,1
8,21,Xen_1,,13.1500,1,1,1
8,22,Xen_1,,13.1500,1,1,1
8,23,Xen_1,,13.1500,1,1,1
8,24,Xen_1,,13.1500,1,1,1
8,25,Xen_1,,13.1500,1,1,1
8,26,Xen_1,,13.1500,1,1,1
8,27,Xen_1,,13.1500,1,1,1
8,28,Xen_1,,13.1500,1,1,1
8,29,Xen_1,,13.1500,1,1,1
8,30,Xen_1,,13.1500,1,1,1
10,1,kvm_1,,10.5409,1,1,1
10,2,kvm_1,,10.5409,1,1,1
10,3,kvm_1,,10.5409,1,1,1
10,4,kvm_1,,10.5409,1,1,1
10,5,kvm_1,,10.5409,1,1,1
10,6,kvm_1,,10.5409,1,1,1
10,7,kvm_1,,10.5409,1,1,1
10,8,kvm_1,,10.5409,1,1,1
10,9,kvm_1,,10.5409,1,1,1
10,10,kvm_1,,10.5409,1,1,1
10,11,kvm_1,,10.5409,1,1,1
10,12,kvm_1,,10.5409,1,1,1
10,13,kvm_1,,10.5409,1,1,1
10,14,kvm_1,,10.5409,1,1,1
10,15,kvm_1,,10.5409,1,1,1
10,16,kvm_1,,10.5409,1,1,1
10,17,kvm_1,,10.5409,1,1,1
10,18,kvm_1,,10.5409,1,1,1
10,19,kvm_1,,10.5409,1,1,1
10,20,kvm_1,,10.5409,1,1,1
10,21,kvm_1,,10.5409,1,1,1
10,22,kvm_1,,10.5409,1,1,1
10,23,kvm_1,,10.5409,1,1,1
10,24,kvm_1,,10.5409,1,1,1
10,25,kvm_1,,10.5409,1,1,1
10,26,kvm_1,,10.5409,1,1,1
10,27,kvm_1,,10.5409,1,1,1
10,28,kvm_1,,10.5409,1,1,1
10,29,kvm_1,,10.5409,1,1,1
10,30,kvm_1,,10.5409,1,1,1
10,1,Xen_1,,10.5409,1,1,1
10,2,Xen_1,,10.5409,1,1,1
10,3,Xen_1,,10.5409,1,1,1
10,4,Xen_1,,10.5409,1,1,1
10,5,Xen_1,,10.5409,1,1,1
10,6,Xen_1,,10.5409,1,1,1
10,7,Xen_1,,10.5409,1,1,1
10,8,Xen_1,,10.5409,1,1,1
10,9,Xen_1,,10.5409,1,1,1
10,10,Xen_1,,10.5409,1,1,1
10,11,Xen_1,,10.5409,1,1,1
10,12,Xen_1,,10.5409,1,1,1
10,13,Xen_1,,10.5409,1,1,1
10,14,Xen_1,,10.5409,1,1,1
10,15,Xen_1,,10.5409,1,1,1
10,16,Xen_1,,10.5409,1,1,1
10,17,Xen_1,,10.5409,1,1,1
10,18,Xen_1,,10.5409,1,1,1
10,19,Xen_1,,10.5409,1,1,1
10,20,Xen_1,,10.5409,1,1,1
10,21,Xen_1,,10.5409,1,1,1
10,22,Xen_1,,10.5409,1,1,1
10,23,Xen_1,,10.5409,1,1,1
10,24,Xen_1,,10.5409,1,1,1
10,25,Xen_1,,10.5409,1,1,1
10,26,Xen_1,,10.5409,1,1,1
10,27,Xen_1,,10.5409,1,1,1
10,28,Xen_1,,10.5409,1,1,1
10,29,Xen_1,,10.5409,1,1,1
10,30,Xen_1,,10.5409,1,1,1
16,1,kvm_1,,6.6053,1,1,1
16,2,kvm_1,,6.6053,1,1,1
16,3,kvm_1,,6.6053,1,1,1
16,4,kvm_1,,6.6053,1,1,1
16,5,kvm_1,,6.6053,1,1,1
16,6,kvm_1,,6.6053,1,1,1
16,7,kvm_1,,6.6053,1,1,1
16,8,kvm_1,,6.6053,1,1,1
16,9,kvm_1,,6.6053,1,1,1
16,10,kvm_1,,6.6053,1,1,1
16,11,kvm_1,,6.6053,1,1,1
16,12,kvm_1,,6.6053,1,1,1
16,13,kvm_1,,6.6053,1,1,1
16,14,kvm_1,,6.6053,1,1,1
16,15,kvm_1,,6.6053,1,1,1
16,16,kvm_1,,6.6053,1,1,1
16,17,kvm_1,,6.6053,1,1,1
16,18,kvm_1,,6.6053,1,1,1
16,19,kvm_1,,6.6053,1,1,1
16,20,kvm_1,,6.6053,1,1,1
16,21,kvm_1,,6.6053,1,1,1
16,22,kvm_1,,6.6053,1,1,1
16,23,kvm_1,,6.6053,1,1,1
16,24,kvm_1,,6.6053,1,1,1
16,25,kvm_1,,6.6053,1,1,1
16,26,kvm_1,,6.6053,1,1,1
16,27,kvm_1,,6.6053,1,1,1
16,28,kvm_1,,6.6053,1,1,1
16,29,kvm_1,,6.6053,1,1,1
16,30,kvm_1,,6.6053,1,1,1
16,1,Xen_1,,6.6053,1,1,1
16,2,Xen_1,,6.6053,1,1,1
16,3,Xen_1,,6.6053,1,1,1
16,4,Xen_1,,6.6053,1,1,1
16,5,Xen_1,,6.6053,1,1,1
16,6,Xen_1,,6.6053,1,1,1
16,7,Xen_1,,6.6053,1,1,1
16,8,Xen_1,,6.6053,1,1,1
16,9,Xen_1,,6.6053,1,1,1
16,10,Xen_1,,6.6053,1,1,1
16,11,Xen_1,,6.6053,1,1,1
16,12,Xen_1,,6.6053,1,1,1
16,13,Xen_1,,6.6053,1,1,1
16,14,Xen_1,,6.6053,1,1,1
16,15,Xen_1,,6.6053,1,1,1
16,16,Xen_1,,6.6053,1,1,1
16,17,Xen_1,,6.6053,1,1,1
16,18,Xen_1,,6.6053,1,1,1
16,19,Xen_1,,6.6053,1,1,1
16,20,Xen_1,,6.6053,1,1,1
16,21,Xen_1,,6.6053,1,1,1
16,22,Xen_1,,6.6053,1,1,1
16,23,Xen_1,,6.6053,1,1,1
16,24,Xen_1,,6.6053,1,1,1
16,25,Xen_1,,6.6053,1,1,1
16,26,Xen_1,,6.6053,1,1,1
16,27,Xen_1,,6.6053,1,1,1
16,28,Xen_1,,6.6053,1,1,1
16,29,Xen_1,,6.6053,1,1,1
16,30,Xen_1,,6.6053,1,1,1
20,1,kvm_1,,5.3540,1,1,1
20,2,kvm_1,,5.3540,1,1,1
20,3,kvm_1,,5.3540,1,1,1
20,4,kvm_1,,5.3540,1,1,1
20,5,kvm_1,,5.3540,1,1,1
20,6,kvm_1,,5.3540,1,1,1
20,7,kvm_1,,5.3540,1,1,1
20,8,kvm_1,,5.3540,1,1,1
20,9,kvm_1,,5.3540,1,1,1
20,10,kvm_1,,5.3540,1,1,1
20,11,kvm_1,,5.3540,1,1,1
20,12,kvm_1,,5.3540,1,1,1
20,13,kvm_1,,5.3540,1,1,1
20,14,kvm_1,,5.3540,1,1,1
20,15,kvm_1,,5.3540,1,1,1
20,16,kvm_1,,5.3540,1,1,1
20,17,kvm_1,,5.3540,1,1,1
20,18,kvm_1,,5.3540,1,1,1
20,19,kvm_1,,5.3540,1,1,1
20,20,kvm_1,,5.3540,1,1,1
20,21,kvm_1,,5.3540,1,1,1
20,22,kvm_1,,5.3540,1,1,1
20,23,kvm_1,,5.3540,1,1,1
20,24,kvm_1,,5.3540,1,1,1
20,25,kvm_1,,5.3540,1,1,1
20,26,kvm_1,,5.3540,1,1,1
20,27,kvm_1,,5.3540,1,1,1
20,28,kvm_1,,5.3540,1,1,1
20,29,kvm_1,,5.3540,1,1,1
20,30,kvm_1,,5.3540,1,1,1
